wavelength(nm), irradiance (watts/m^2/nm)
176.1, 0.0012672812311991504
176.105, 0.0012670449513177973
176.11, 0.0012661543422291055
176.115, 0.001265033446031116
176.12, 0.001264106304821854
176.125, 0.0012637969606993493
176.13, 0.0012645294557616304
176.135, 0.0012667278321067262
176.14, 0.001270816131832667
176.145, 0.0012772183970375245
176.15, 0.0012863586698192578
176.155, 0.001298553519000162
176.16, 0.0013133252187238196
176.165, 0.0013298400379078436
176.17, 0.001347262566199916
176.175, 0.0013647573932478163
176.18, 0.0013814891086990223
176.185, 0.0013966223022013153
176.19, 0.0014093215634023758
176.195, 0.0014187514819498854
176.2, 0.001424076647491525
176.205, 0.001424509822012041
176.21, 0.001419984568391717
176.215, 0.001410989323467567
176.22, 0.0013980267973616482
176.225, 0.0013815997001960173
176.23, 0.0013622107420927308
176.235, 0.0013403626331737156
176.24, 0.0013165580835612788
176.245, 0.0012912998033773593
176.25, 0.0012650905027440148
176.255, 0.001238433683476501
176.26, 0.0012118446934661093
176.265, 0.001185847999736917
176.27, 0.0011609683038886274
176.275, 0.0011377303075213673
176.28, 0.0011166587122348323
176.285, 0.0010982782196288631
176.29, 0.0010831135313033012
176.295, 0.0010716893488579872
176.3, 0.0010645303738927342
176.305, 0.0010621121893522958
176.31, 0.0010641754175631742
176.315, 0.0010698949067127386
176.32, 0.001078430951312752
176.325, 0.0010889438458749786
176.33, 0.0011005938849112486
176.335, 0.0011125413629331899
176.34, 0.0011239465744526294
176.345, 0.0011339698139813306
176.35, 0.0011417713760310565
176.355, 0.0011465688542852547
176.36, 0.001148437207811097
176.365, 0.001148111397245879
176.37, 0.0011463433607592848
176.375, 0.0011438850365209788
176.38, 0.0011414883627006258
176.385, 0.001139905277467891
176.39, 0.0011398877189924398
176.395, 0.0011421876254439575
176.4, 0.0011475569349920873
176.405, 0.0011566831797229738
176.41, 0.0011692901858804032
176.415, 0.0011843599170423909
176.42, 0.0012008552535029472
176.425, 0.0012177390755561777
176.43, 0.0012339742634958951
176.435, 0.0012485236976162064
176.44, 0.001260350258211121
176.445, 0.0012684168255746495
176.45, 0.0012716862800008018
